row,col,lat,lon,fire_count,ndvi,r_f,r_p,risk,lambda_drones,lambda_rangers,lambda_sensors,c_drones,c_rangers,c_sensors,coverage,protection,protection_uniform,in_pan
1,53,-19.4324,16.9988,0,1.0,0.244182,0.008525,0.045625,0.9424,0.2691,0.1988,0.08,0.0,0.0,0.075391,0.808412,0.733788,False
1,54,-19.4324,17.0464,0,1.0,0.244182,0.007581,0.043026,0.9438,0.2658,0.1966,0.08,0.0,0.0,0.075501,0.827051,0.751153,False
1,55,-19.4324,17.0941,0,1.0,0.244182,0.006769,0.040655,0.9449,0.263,0.1948,0.08,0.0,0.0,0.075595,0.844236,0.7679,False
1,56,-19.4324,17.1417,0,1.0,0.244182,0.005819,0.037696,0.9463,0.2596,0.1926,0.08,0.0,0.0,0.075704,0.865785,0.790016,False
2,0,-19.3874,14.4738,2.1,1.0,0.691065,0.000136,0.009699,0.9544,0.2388,0.1791,0.04,0.0,0.0,0.038177,0.980479,0.996698,False
2,1,-19.3874,14.5215,0,1.0,0.674372,0.000233,0.012547,0.9544,0.2389,0.1792,0.04,0.0,0.0,0.038175,0.95229,0.987943,False
2,2,-19.3874,14.5691,0,1.0,0.674372,0.000397,0.016364,0.9543,0.2391,0.1793,0.04,0.0,0.1,0.056102,0.96756,0.96628,False
2,3,-19.3874,14.6167,0,1.0,0.674372,0.000668,0.021232,0.9541,0.2395,0.1795,0.04,0.4,0.0,0.133971,0.998182,0.926853,False
2,4,-19.3874,14.6644,0,1.0,0.674372,0.00111,0.027363,0.9539,0.2401,0.1799,0.08,0.0,0.0,0.076314,0.938513,0.869037,False
2,5,-19.3874,14.712,0,1.0,0.674372,0.001812,0.034956,0.9536,0.241,0.1805,0.08,0.0,0.0,0.076286,0.887223,0.797229,False
2,6,-19.3874,14.7597,0,1.0,0.674372,0.00289,0.04415,0.953,0.2425,0.1815,0.08,0.0,0.0,0.076243,0.822169,0.718811,False
2,7,-19.3874,14.8073,0,1.0,0.674372,0.004478,0.054955,0.9522,0.2446,0.1828,0.08,0.0,0.0,0.076179,0.74998,0.641403,False
2,8,-19.3874,14.8549,0,1.0,0.674372,0.006692,0.067178,0.9511,0.2475,0.1847,0.08,0.0,0.1,0.094562,0.755277,0.570904,False
2,9,-19.3874,14.9026,0,1.0,0.674372,0.009581,0.080382,0.9497,0.2513,0.1872,0.04,0.4,0.0,0.138487,0.821445,0.510716,False
2,10,-19.3874,14.9502,0,1.0,0.674372,0.014773,0.099813,0.947,0.258,0.1915,0.04,0.4,0.0,0.141064,0.756658,0.443836,False
2,11,-19.3874,14.9979,0,1.0,0.674372,0.024829,0.129399,0.9417,0.2707,0.1998,0.0,0.4,0.0,0.108277,0.566893,0.374168,False
2,12,-19.3874,15.0455,0,1.0,0.659775,0.039667,0.161776,0.9332,0.2899,0.2123,0.0,0.4,0.0,0.115956,0.511673,0.32583,False
2,13,-19.3874,15.0931,0,1.0,0.645134,0.059356,0.195685,0.9213,0.3148,0.2284,0.0,0.4,0.0,0.125924,0.474551,0.292976,False
2,14,-19.3874,15.1408,0,1.0,0.631107,0.082533,0.228226,0.9063,0.3431,0.2467,0.0,0.0,0.3,0.074018,0.276981,0.271925,False
2,15,-19.3874,15.1884,0,1.0,0.617655,0.128771,0.282021,0.8758,0.3936,0.2793,0.0,0.0,0.2,0.055865,0.179701,0.248469,False
2,16,-19.3874,15.2361,0,1.0,0.604742,0.213795,0.35957,0.8201,0.469,0.3278,0.0,0.0,0.1,0.032777,0.087124,0.226914,False
2,17,-19.3874,15.2837,0,1.0,0.592336,0.315171,0.432073,0.7582,0.5364,0.3707,0.0,0.0,0.1,0.037075,0.082229,0.212196,False
2,18,-19.3874,15.3314,0,1.0,0.580406,0.413678,0.490001,0.7047,0.5849,0.4015,0.0,0.0,0.0,0.0,0.0,0.20188,False
2,19,-19.3874,15.379,0,1.0,0.568925,0.49439,0.53035,0.6655,0.6162,0.4212,0.0,0.0,0.0,0.0,0.0,0.195258,False
2,20,-19.3874,15.4266,0,1.0,0.557868,0.559634,0.55875,0.6363,0.6374,0.4346,0.0,0.0,0.0,0.0,0.0,0.190916,False
2,21,-19.3874,15.4743,0,1.0,0.54721,0.590627,0.568504,0.6213,0.6477,0.441,0.0,0.0,0.0,0.0,0.0,0.190133,False
2,22,-19.3874,15.5219,0,1.0,0.536929,0.597105,0.566218,0.6152,0.6517,0.4435,0.0,0.0,0.0,0.0,0.0,0.191678,False
2,23,-19.3874,15.5696,0,1.0,0.527006,0.586837,0.556117,0.615,0.6519,0.4436,0.0,0.0,0.0,0.0,0.0,0.194834,False
2,24,-19.3874,15.6172,0,1.0,0.517421,0.588479,0.551807,0.6107,0.6548,0.4454,0.0,0.0,0.0,0.0,0.0,0.196803,False
2,25,-19.3874,15.6648,0,1.0,0.512243,0.629522,0.567863,0.5949,0.6648,0.4517,0.0,0.0,0.0,0.0,0.0,0.193909,False
